iter	Accuracy	MultiClass
0	0.2791005291	2.460031616
1	0.2936507937	2.438989826
2	0.3042328042	2.415243847
3	0.3002645503	2.391338367
4	0.2685185185	2.372070739
5	0.2751322751	2.349233169
6	0.2751322751	2.329244629
7	0.2764550265	2.310393982
8	0.2751322751	2.293379815
9	0.2804232804	2.274955474
10	0.2791005291	2.258256285
11	0.2777777778	2.244046792
12	0.2791005291	2.228465029
13	0.2764550265	2.212966132
14	0.291005291	2.197669901
15	0.2936507937	2.181221816
16	0.3068783069	2.165772359
17	0.3201058201	2.147143338
18	0.3148148148	2.133046215
19	0.328042328	2.117484832
20	0.3267195767	2.101320069
21	0.3346560847	2.088085499
22	0.3465608466	2.073394201
23	0.3544973545	2.055833808
24	0.3650793651	2.041169183
25	0.3664021164	2.025771967
26	0.3703703704	2.013289672
27	0.376984127	2.002571873
28	0.3822751323	1.987540162
29	0.3994708995	1.971981077
30	0.4074074074	1.959724126
31	0.4113756614	1.944233523
32	0.414021164	1.935174842
33	0.4246031746	1.923746854
34	0.4325396825	1.910836716
35	0.4338624339	1.897920827
36	0.4457671958	1.884587993
37	0.4457671958	1.876899041
38	0.4444444444	1.868389203
39	0.4497354497	1.856676543
40	0.4603174603	1.844188179
41	0.4735449735	1.832972801
42	0.4761904762	1.822026841
43	0.4801587302	1.813451918
44	0.4973544974	1.801440055
45	0.5079365079	1.788004685
46	0.5158730159	1.778262009
47	0.5198412698	1.767608724
48	0.5238095238	1.755329136
49	0.5343915344	1.741776232
50	0.5396825397	1.73373397
51	0.5529100529	1.724009203
52	0.5568783069	1.71119608
53	0.5714285714	1.700668075
54	0.5740740741	1.691677663
55	0.582010582	1.682649486
56	0.5886243386	1.670077382
57	0.5952380952	1.660872024
58	0.6031746032	1.649536623
59	0.6097883598	1.641386791
60	0.623015873	1.630986121
61	0.6322751323	1.619463927
62	0.6388888889	1.611586195
63	0.6534391534	1.60048408
64	0.6693121693	1.590378589
65	0.6746031746	1.579744216
66	0.6785714286	1.568738886
67	0.6891534392	1.558452439
68	0.6970899471	1.546140753
69	0.708994709	1.537976821
70	0.7103174603	1.53131819
71	0.7103174603	1.523261154
72	0.7195767196	1.51324506
73	0.7354497354	1.501682026
74	0.7513227513	1.490477642
75	0.75	1.483247974
76	0.7552910053	1.473934349
77	0.7566137566	1.463114958
78	0.7671957672	1.453373573
79	0.7791005291	1.444196432
80	0.7777777778	1.434686226
81	0.7857142857	1.423746155
82	0.791005291	1.413846206
83	0.794973545	1.404905211
84	0.7962962963	1.396510766
85	0.8042328042	1.388018485
86	0.8082010582	1.380358016
87	0.8148148148	1.372136772
88	0.8227513228	1.361050999
89	0.8333333333	1.353276446
90	0.8373015873	1.34386347
91	0.8412698413	1.33756019
92	0.8518518519	1.328710047
93	0.8558201058	1.319535723
94	0.8664021164	1.308512737
95	0.869047619	1.297926541
96	0.869047619	1.288212331
97	0.8703703704	1.278833279
98	0.876984127	1.269960809
99	0.880952381	1.265641887
100	0.8862433862	1.25777168
101	0.8875661376	1.252913528
102	0.8902116402	1.245280499
103	0.8888888889	1.237012928
104	0.8941798942	1.230185861
105	0.8955026455	1.220129531
106	0.9021164021	1.213754353
107	0.9060846561	1.206713611
108	0.9074074074	1.198653904
109	0.9060846561	1.190609965
110	0.9100529101	1.183463808
111	0.9113756614	1.175260649
112	0.921957672	1.165841389
113	0.9246031746	1.157128828
114	0.9246031746	1.152052109
115	0.9272486772	1.144597051
116	0.9298941799	1.137959512
117	0.9325396825	1.129413358
118	0.9338624339	1.124070373
119	0.9365079365	1.117784377
120	0.9378306878	1.112448522
121	0.9391534392	1.105266641
122	0.9417989418	1.096934521
123	0.9417989418	1.08961227
124	0.9404761905	1.084075856
125	0.9444444444	1.077671361
126	0.9457671958	1.071894838
127	0.9470899471	1.06513203
128	0.9497354497	1.057423653
129	0.9510582011	1.052038771
130	0.9537037037	1.045910369
131	0.9523809524	1.040783925
132	0.9563492063	1.033018208
133	0.9603174603	1.02621941
134	0.958994709	1.022191586
135	0.9603174603	1.015805498
136	0.9669312169	1.011317052
137	0.9682539683	1.004661606
138	0.9695767196	0.9996851886
139	0.9695767196	0.9927338816
140	0.9708994709	0.985340219
141	0.9708994709	0.981500525
142	0.9748677249	0.9765280568
143	0.9748677249	0.9698392212
144	0.9748677249	0.963625606
145	0.9748677249	0.9594336293
146	0.9761904762	0.9541691128
147	0.9775132275	0.9476584141
148	0.9788359788	0.9437179426
149	0.9801587302	0.9368226274
150	0.9801587302	0.9310557734
151	0.9814814815	0.9265463856
152	0.9814814815	0.9222842046
153	0.9814814815	0.9165563443
154	0.9828042328	0.9100941367
155	0.9828042328	0.904874057
156	0.9841269841	0.8995166204
157	0.9841269841	0.8936724114
158	0.9854497354	0.8871088216
159	0.9880952381	0.8819806068
160	0.9880952381	0.8774253221
161	0.9894179894	0.8707172537
162	0.9894179894	0.8657680374
163	0.9894179894	0.8612459377
164	0.9894179894	0.8553640089
165	0.9907407407	0.8496831823
166	0.9920634921	0.8449516809
