iter	Passed	Remaining
0	127	127299
1	267	133720
2	411	136603
3	547	136252
4	707	140729
5	851	141128
6	1003	142334
7	1160	143939
8	1318	145134
9	1460	144546
10	1609	144724
11	1753	144377
12	1892	143663
13	2039	143634
14	2184	143455
15	2337	143736
16	2474	143065
17	2624	143191
18	2767	142877
19	2901	142157
20	3048	142125
21	3204	142440
22	3352	142400
23	3494	142101
24	3640	141991
25	3785	141815
26	3932	141708
27	4069	141271
28	4219	141284
29	4367	141230
30	4507	140898
31	4661	141016
32	4803	140743
33	4939	140329
34	5079	140040
35	5224	139897
36	5374	139880
37	5517	139685
38	5671	139746
39	5811	139471
40	5943	139024
41	6080	138691
42	6234	138762
43	6381	138649
44	6525	138494
45	6685	138649
46	6838	138656
47	6993	138706
48	7164	139052
49	7324	139164
50	7475	139100
51	7610	138738
52	7751	138507
53	7883	138115
54	8015	137715
55	8151	137417
56	8293	137209
57	8435	137004
58	8578	136813
59	8715	136544
60	8846	136184
61	8978	135831
62	9124	135709
63	9265	135506
64	9411	135383
65	9559	135279
66	9708	135193
67	9855	135082
68	10006	135020
69	10160	134983
70	10313	134943
71	10472	134978
72	10642	135141
73	10812	135299
74	10972	135329
75	11128	135296
76	11281	135230
77	11437	135197
78	11590	135125
79	11770	135361
80	11932	135385
81	12105	135526
82	12271	135576
83	12436	135620
84	12588	135506
85	12736	135367
86	12885	135227
87	13033	135070
88	13179	134908
89	13329	134774
90	13477	134629
91	13628	134504
92	13776	134353
93	13922	134191
94	14075	134083
95	14225	133959
96	14380	133874
97	14541	133836
98	14705	133833
99	14867	133807
100	15032	133801
101	15181	133655
102	15336	133561
103	15491	133467
104	15639	133310
105	15791	133182
106	15947	133090
107	16120	133142
108	16284	133116
109	16455	133138
110	16620	133112
111	16785	133083
112	16946	133024
113	17102	132919
114	17257	132808
115	17417	132733
116	17578	132664
117	17735	132562
118	17884	132409
119	18037	132272
120	18186	132115
121	18338	131976
122	18492	131852
123	18642	131699
124	18794	131560
125	18948	131433
126	19104	131322
127	19260	131211
128	19409	131051
129	19559	130895
130	19709	130741
131	19858	130585
132	20007	130421
133	20158	130277
134	20311	130146
135	20463	130000
136	20612	129841
137	20758	129666
138	20907	129506
139	21058	129360
140	21210	129217
141	21359	129061
142	21508	128899
143	21658	128746
144	21805	128579
145	21955	128424
146	22109	128296
147	22264	128172
148	22420	128054
149	22568	127890
150	22715	127719
151	22862	127550
152	23011	127391
153	23162	127243
154	23309	127074
155	23455	126899
156	23603	126738
157	23747	126552
158	23892	126373
159	24042	126221
160	24190	126063
161	24344	125929
162	24494	125780
163	24643	125623
164	24794	125476
165	24942	125312
166	25096	125182
167	25245	125024
168	25397	124885
169	25545	124720
170	25692	124555
171	25836	124375
172	25983	124208
173	26135	124070
174	26289	123934
175	26439	123783
176	26586	123618
177	26734	123460
178	26886	123317
179	27042	123194
180	27193	123046
181	27344	122899
182	27490	122731
183	27640	122579
184	27790	122429
185	27939	122273
186	28088	122117
187	28242	121982
188	28392	121830
189	28540	121674
190	28689	121516
191	28834	121343
192	28982	121186
193	29134	121044
194	29292	120925
195	29449	120801
196	29605	120676
197	29753	120516
198	29905	120372
199	30060	120242
200	30226	120154
201	30397	120085
202	30549	119941
203	30699	119789
204	30852	119647
205	31013	119536
206	31171	119413
207	31324	119272
208	31486	119164
209	31640	119030
210	31793	118886
211	31945	118739
212	32104	118622
213	32267	118514
214	32435	118428
